Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,CCU channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED Fiber,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID,Cooling loop,tkFEC connection,,,,,,,
FPix_BmI_D1_BLD1_PNL1_RNG1,,1B,M-I-2-35,7033,12,1Ba,1BA,6,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,2,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A1,SN122498/0045,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,6,FPix -z up left 3,5,1,green-3,3,5/6,1,t,1320,down center,13,9,1,1,D1-RG1-HV2,,1294,mA,2,,,,,,,
FPix_BmI_D1_BLD2_PNL1_RNG1,,2B,M-I-2-47,7044,11,1Ba,1BA,4,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,2,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A2,SN122498/0041,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,5,FPix -z up left 3,5,2,green-3,15,29/30,1,b,1320,down center,13,9,1,1,D1-RG1-HV2,,1294,mA,2,,POH bundles,"1,2,3,4,5,6,7,12,13,18,19,20,21,22",,,(14 bundles - 12 fibers/bundle - 1.72 POHs/bundle),
FPix_BmI_D1_BLD3_PNL1_RNG1,,3B,M-I-2-48,7045,10,1Ba,1BA,2,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,2,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A3,SN122498/0046,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,4,FPix -z up left 3,5,3,green-3,3,5/6,2,t,1321,down center,13,9,1,1,D1-RG1-HV2,,1295,mA,2,,pDOH bundles,"8,14,9,15,10,16",,,(6 bundles - 8 fibers/bundle - 2 DOHs/bundle),
FPix_BmI_D1_BLD4_PNL1_RNG1,,4B,M-I-3-09,7049,13,1Bb,1BB,6,PR017,portcard_FPix_BmI_D1_PRT2,PB-1,J11,2,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P95,A5,SN122498/0028,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,2,FPix -z up left 3,5,5,blue-1,1,1/2,3,t,1322,down center,13,9,1,2,D1-RG2-HV2,,1296,mA,2,,tDOH bundle,17,,,(1 bundle - 8 fibers/bundle),
FPix_BmI_D1_BLD5_PNL1_RNG1,,5B,M-I-3-17,7029,12,1Bb,1BB,2,PR017,portcard_FPix_BmI_D1_PRT2,PB-1,J11,2,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P95,B7,SN122498/0044,B8,30201210004620,B,0x7c,0x10,FPix -z up left 3,6,FPix -z up left 3,5,7,blue-1,1,1/2,4,t,1323,down center,13,9,1,2,D1-RG2-HV2,,1297,mA,2,,,,,,,
FPix_BmI_D1_BLD6_PNL1_RNG1,,6B,M-I-3-39,7028,12,1Bc,1BC,6,PR024,portcard_FPix_BmI_D1_PRT3,PB-19,J11,2,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P44,C15,SN122498/0035,C12,30201210004691,A,0x7e,0x10,FPix -z down left 6,1,FPix -z down left 6,4,8,green-3,15,29/30,4,b,1323,down center,14,10,1,1,D1-RG3-HV2,,1297,mA,2,,"top faces away from IP - is PNL2,  bottom faces towards IP - is PNL1",,,,,
FPix_BmI_D1_BLD7_PNL1_RNG1,,7B,M-I-4-27,7040,11,1Bc,1BC,4,PR024,portcard_FPix_BmI_D1_PRT3,PB-19,J11,2,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P44,C16,SN122498/0039,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,6,FPix -z down left 6,4,9,green-3,3,5/6,5,t,1324,down center,14,10,1,1,D1-RG3-HV2,,1298,mA,2,,,,,,,
FPix_BmI_D1_BLD8_PNL1_RNG1,,8B,M-K-3-42,7026,10,1Bc,1BC,2,PR024,portcard_FPix_BmI_D1_PRT3,PB-19,J11,2,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P44,D17,SN122498/0027,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,5,FPix -z down left 6,4,10,green-3,15,29/30,5,b,1324,down center,14,10,1,1,D1-RG3-HV2,,1298,mA,2,,"For BmI/BpO, FED positions (POH bundles) 2b(4), 3b(6), 6a(19) contain only outer modules",,,,,
FPix_BmI_D1_BLD9_PNL1_RNG1,,9B,M-I-4-30,7048,12,1Bd,1BD,6,PR005,portcard_FPix_BmI_D1_PRT4,PB-29,J11,2,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P120,D19,SN122498/0052,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,3,FPix -z down left 6,4,12,blue-1,13,25/26,6,b,1325,down center,14,10,1,2,D1-RG4-HV2,,1299,mA,2,,"For BmI/BpO, FED positions (POH bundles) 2b(4), 5a(17), 6a(19) contain only outer modules",,,,,
FPix_BmI_D1_BLD10_PNL1_RNG1,,10B,M-I-4-41,7038,11,1Bd,1BD,4,PR005,portcard_FPix_BmI_D1_PRT4,PB-29,J11,2,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P120,D20,SN122498/0051,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,2,FPix -z down left 6,4,13,blue-1,1,1/2,7,t,1326,down center,14,10,1,2,D1-RG4-HV2,,1300,mA,2,,BmI = FPix Near -   --> down center crate,,,,,
