Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,CCU channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED Fiber,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID,Cooling loop,tkFEC connection,,,,,,,
FPix_BmI_D3_BLD14_PNL2_RNG2,,14T,M-I-2-44,7084,9,3Td,3TD,7,PR129,portcard_FPix_BmI_D3_PRT4,PB-34,J12,3,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P50,D18,SN122498/0048,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,4,FPix -z down left 6,2,11,turquoise-12,12,23/24,6,t,1325,down center,13,9,4,2,D3-RG4-HV1,,1299,mD,2,,,,,,,
FPix_BmI_D3_BLD15_PNL2_RNG2,,15T,M-L-2-11,7076,8,3Td,3TD,5,PR129,portcard_FPix_BmI_D3_PRT4,PB-34,J12,3,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P50,D19,SN122498/0052,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,3,FPix -z down left 6,2,12,turquoise-12,24,47/48,6,b,1325,down center,13,9,4,2,D3-RG4-HV1,,1299,mD,2,,,,,,,
FPix_BmI_D3_BLD16_PNL2_RNG2,,16T,M-K-3-18,7080,7,3Td,3TD,3,PR129,portcard_FPix_BmI_D3_PRT4,PB-34,J12,3,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P50,D20,SN122498/0051,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,2,FPix -z down left 6,2,13,turquoise-12,12,23/24,7,t,1326,down center,13,9,4,2,D3-RG4-HV1,,1300,mD,2,,,,,,,
FPix_BmI_D3_BLD17_PNL2_RNG2,,17T,M-L-3-14,7081,6,3Td,3TD,1,PR129,portcard_FPix_BmI_D3_PRT4,PB-34,J12,3,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P50,D21,SN122498/0081,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,1,FPix -z down left 6,2,14,turquoise-12,24,47/48,7,b,1326,down center,13,9,4,2,D3-RG4-HV1,,1300,mD,2,,,,,,,
FPix_BmI_D3_BLD1_PNL1_RNG2,,1B,M-I-4-13,7085,5,3Ba,3BA,7,PR031,portcard_FPix_BmI_D3_PRT1,PB-40,J11,1,dcdc_FPix_BmI_D3_PRT1,Disk3_RG1,CI-A 003,P35,A1,SN122498/0045,B10,30201210004700,A,0x7b,0x12,FPix -z up left 2,6,FPix -z up left 3,3,1,yellow-9,9,17/18,1,t,1320,down center,13,9,3,1,D3-RG1-HV1,,1294,mD,2,,,,,,,
FPix_BmI_D3_BLD2_PNL1_RNG2,,2B,M-L-1-14,7089,4,3Ba,3BA,5,PR031,portcard_FPix_BmI_D3_PRT1,PB-40,J11,1,dcdc_FPix_BmI_D3_PRT1,Disk3_RG1,CI-A 003,P35,A2,SN122498/0041,B10,30201210004700,A,0x7b,0x12,FPix -z up left 2,5,FPix -z up left 3,3,2,yellow-9,21,41/42,1,b,1320,down center,13,9,3,1,D3-RG1-HV1,,1294,mD,2,,,,,,,
FPix_BmI_D3_BLD3_PNL1_RNG2,,3B,M-M-3-12,7077,3,3Ba,3BA,3,PR031,portcard_FPix_BmI_D3_PRT1,PB-40,J11,1,dcdc_FPix_BmI_D3_PRT1,Disk3_RG1,CI-A 003,P35,A3,SN122498/0046,B10,30201210004700,A,0x7b,0x12,FPix -z up left 2,4,FPix -z up left 3,3,3,yellow-9,9,17/18,2,t,1321,down center,13,9,3,1,D3-RG1-HV1,,1295,mD,2,,,,,,,
FPix_BmI_D3_BLD4_PNL1_RNG2,,4B,M-L-4-15,9022,2,3Ba,3BA,1,PR031,portcard_FPix_BmI_D3_PRT1,PB-40,J11,1,dcdc_FPix_BmI_D3_PRT1,Disk3_RG1,CI-A 003,P35,A4,SN122498/0047,B10,30201210004700,A,0x7b,0x12,FPix -z up left 2,3,FPix -z up left 3,3,4,yellow-9,21,41/42,2,b,1321,down center,13,9,3,1,D3-RG1-HV1,,1295,mD,2,,,,,,,
FPix_BmI_D3_BLD5_PNL1_RNG2,,5B,M-M-3-08,7078,6,3Bb,3BB,7,PR018,portcard_FPix_BmI_D3_PRT2,PB-9,J11,1,dcdc_FPix_BmI_D3_PRT2,Disk3_RG2,CI-A 007,P92,A4,SN122498/0047,B10,30201210004700,B,0x7c,0x12,FPix -z up left 2,3,FPix -z up left 3,3,4,pink-11,23,45/46,2,b,1321,down center,13,9,3,2,D3-RG2-HV1,,1295,mD,2,,,,,,,
FPix_BmI_D3_BLD6_PNL1_RNG2,,6B,M-N-3-04,7098,5,3Bb,3BB,5,PR018,portcard_FPix_BmI_D3_PRT2,PB-9,J11,1,dcdc_FPix_BmI_D3_PRT2,Disk3_RG2,CI-A 007,P92,A5,SN122498/0028,B10,30201210004700,B,0x7c,0x12,FPix -z up left 2,2,FPix -z up left 3,3,5,pink-11,11,21/22,3,t,1322,down center,13,9,3,2,D3-RG2-HV1,,1296,mD,2,,,,,,,
FPix_BmI_D3_BLD7_PNL1_RNG2,,7B,M-M-2-30,7099,4,3Bb,3BB,4,PR018,portcard_FPix_BmI_D3_PRT2,PB-9,J11,2,dcdc_FPix_BmI_D3_PRT2,Disk3_RG2,CI-A 007,P92,B6,SN122498/0043,B10,30201210004700,B,0x7c,0x12,FPix -z up left 2,1,FPix -z up left 3,3,6,yellow-9,21,41/42,3,b,1322,down center,13,9,3,2,D3-RG2-HV1,,1296,mD,2,,,,,,,
FPix_BmI_D3_BLD8_PNL1_RNG2,,8B,M-M-4-43,7092,3,3Bb,3BB,3,PR018,portcard_FPix_BmI_D3_PRT2,PB-9,J11,1,dcdc_FPix_BmI_D3_PRT2,Disk3_RG2,CI-A 007,P92,B6,SN122498/0043,B10,30201210004700,B,0x7c,0x12,FPix -z up left 2,1,FPix -z up left 3,3,6,pink-11,23,45/46,3,b,1322,down center,13,9,3,2,D3-RG2-HV1,,1296,mD,2,,,,,,,
FPix_BmI_D3_BLD9_PNL1_RNG2,,9B,M-N-3-38,7055,2,3Bb,3BB,1,PR018,portcard_FPix_BmI_D3_PRT2,PB-9,J11,1,dcdc_FPix_BmI_D3_PRT2,Disk3_RG2,CI-A 007,P92,B7,SN122498/0044,B10,30201210004700,B,0x7c,0x12,FPix -z up left 3,6,FPix -z up left 3,3,7,pink-11,11,21/22,4,t,1323,down center,13,9,3,2,D3-RG2-HV1,,1297,mD,2,,,,,,,
FPix_BmI_D3_BLD10_PNL1_RNG2,,10B,M-M-3-16,7086,5,3Bc,3BC,7,PR019,portcard_FPix_BmI_D3_PRT3,PB-51,J11,1,dcdc_FPix_BmI_D3_PRT3,Disk3_RG3,CI-A 018,P94,C15,SN122498/0035,C14,30201210004688,A,0x7e,0x12,FPix -z down left 6,1,FPix -z down left 6,2,8,yellow-9,21,41/42,4,b,1323,down center,13,9,4,1,D3-RG3-HV1,,1297,mD,2,,,,,,,
FPix_BmI_D3_BLD11_PNL1_RNG2,,11B,M-N-3-27,7097,4,3Bc,3BC,5,PR019,portcard_FPix_BmI_D3_PRT3,PB-51,J11,1,dcdc_FPix_BmI_D3_PRT3,Disk3_RG3,CI-A 018,P94,C16,SN122498/0039,C14,30201210004688,A,0x7e,0x12,FPix -z down left 5,6,FPix -z down left 6,2,9,yellow-9,9,17/18,5,t,1324,down center,13,9,4,1,D3-RG3-HV1,,1298,mD,2,,,,,,,
FPix_BmI_D3_BLD12_PNL1_RNG2,,12B,M-Y-J-NX,8000,3,3Bc,3BC,3,PR019,portcard_FPix_BmI_D3_PRT3,PB-51,J11,1,dcdc_FPix_BmI_D3_PRT3,Disk3_RG3,CI-A 018,P94,D17,SN122498/0027,C14,30201210004688,A,0x7e,0x12,FPix -z down left 5,5,FPix -z down left 6,2,10,yellow-9,21,41/42,5,b,1324,down center,13,9,4,1,D3-RG3-HV1,,1298,mD,2,,,,,,,
FPix_BmI_D3_BLD13_PNL1_RNG2,,13B,M-Y-H-NW,7094,2,3Bc,3BC,1,PR019,portcard_FPix_BmI_D3_PRT3,PB-51,J11,1,dcdc_FPix_BmI_D3_PRT3,Disk3_RG3,CI-A 018,P94,D18,SN122498/0048,C14,30201210004688,A,0x7e,0x12,FPix -z down left 5,4,FPix -z down left 6,2,11,yellow-9,9,17/18,6,t,1325,down center,13,9,4,1,D3-RG3-HV1,,1299,mD,2,,,,,,,
FPix_BmI_D3_BLD14_PNL1_RNG2,,14B,M-N-2-34,7093,5,3Bd,3BD,7,PR029,portcard_FPix_BmI_D3_PRT4,PB-34,J11,1,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P93,D18,SN122498/0048,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,4,FPix -z down left 6,2,11,pink-11,11,21/22,6,t,1325,down center,13,9,4,2,D3-RG4-HV1,,1299,mD,2,,,,,,,
FPix_BmI_D3_BLD15_PNL1_RNG2,,15B,M-Y-P-NE,7091,4,3Bd,3BD,5,PR029,portcard_FPix_BmI_D3_PRT4,PB-34,J11,1,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P93,D19,SN122498/0052,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,3,FPix -z down left 6,2,12,pink-11,23,45/46,6,b,1325,down center,13,9,4,2,D3-RG4-HV1,,1299,mD,2,,,,,,,
FPix_BmI_D3_BLD16_PNL1_RNG2,,16B,M-Y-H-NP,7088,3,3Bd,3BD,3,PR029,portcard_FPix_BmI_D3_PRT4,PB-34,J11,1,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P93,D20,SN122498/0051,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,2,FPix -z down left 6,2,13,pink-11,11,21/22,7,t,1326,down center,13,9,4,2,D3-RG4-HV1,,1300,mD,2,,,,,,,
FPix_BmI_D3_BLD17_PNL1_RNG2,,17B,M-Y-K-NA,7087,2,3Bd,3BD,1,PR029,portcard_FPix_BmI_D3_PRT4,PB-34,J11,1,dcdc_FPix_BmI_D3_PRT4,Disk3_RG4,CI-A 010,P93,D21,SN122498/0081,C14,30201210004688,B,0x7d,0x12,FPix -z down left 5,1,FPix -z down left 6,2,14,pink-11,23,45/46,7,b,1326,down center,13,9,4,2,D3-RG4-HV1,,1300,mD,2,,,,,,,
,,,,,,,,,,,,,,,,Filterboard auxilary power,,,,,CCU DOH QR,,CCU board,DCU board,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,CI-B 008,,,,B11,30201210004685,,S/N 008,,CCU+tFEC,,FPix -z up left 3,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPix_BpI_D1_BLD11_PNL2_RNG1,HC3-Disk1-Inner,1T,M-P-2-46,4083,15,1Ta,1TD,6,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,4,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A21,SN112498/0029,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,1,FPix +z down right 3,2,1,brown-4,16,31/32,7,b,1302,top,10,10,1,1,D1-RG1-HV2,-300V,1286,pD,4,BpI,,PortCard Position:,,,,
FPix_BpI_D1_BLD10_PNL2_RNG1,,2T,M-P-2-47,4070,14,1Ta,1TD,4,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,4,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A20,SN112498/0026,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,2,FPix +z down right 3,2,2,brown-4,4,7/8,7,t,1302,top,10,10,1,1,D1-RG1-HV2,-300V,1286,pD,4,,,XYZ:,X: disk number 1-3,,,
FPix_BpI_D1_BLD9_PNL2_RNG1,,3T,M-P-1-07,4081,13,1Ta,1TD,2,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,4,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A19,SN112498/0002,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,3,FPix +z down right 3,2,3,brown-4,16,31/32,6,b,1301,top,10,10,1,1,D1-RG1-HV2,-300V,1285,pD,4,,,,Y: top/bottom,,,
FPix_BpI_D1_BLD8_PNL2_RNG1,,4T,M-P-5-45,4078,15,1Tb,1TC,6,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,4,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,A17,SN112498/0037,B14,30201210004670,B,0x7c,0x10,FPix +z down right 2,5,FPix +z down right 3,2,5,orange-2,14,27/28,5,b,1300,top,10,10,1,2,D1-RG2-HV2,-300V,1284,pD,4,,,,Z: position phi (a-d),,Z: position mirror (A-D),
FPix_BpI_D1_BLD7_PNL2_RNG1,,5T,M-P-6-33,4085,14,1Tb,1TC,2,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,4,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,B15,SN112498/0006,B14,30201210004670,B,0x7c,0x10,FPix +z down right 3,1,FPix +z down right 3,2,7,orange-2,14,27/28,4,b,1299,top,10,10,1,2,D1-RG2-HV2,-300V,1283,pD,4,,,,,,,
FPix_BpI_D1_BLD6_PNL2_RNG1,,6T,M-P-4-20,6144,15,1Tc,1TB,6,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J12,4,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P96,C7,SN112498/0010,C10,30201210004664,A,0x7e,0x10,FPix +z up right 6,1,FPix +z up right 6,4,8,brown-4,4,7/8,4,t,1299,top,9,9,1,1,D1-RG3-HV2,-300V,1283,pD,4,,,BmI:,-z +x (left),,,
FPix_BpI_D1_BLD5_PNL2_RNG1,,7T,M-P-2-27,4079,14,1Tc,1TB,4,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J12,4,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P96,C6,SN112498/0009,C10,30201210004664,A,0x7e,0x10,FPix +z up right 5,6,FPix +z up right 6,4,9,brown-4,16,31/32,3,b,1298,top,9,9,1,1,D1-RG3-HV2,-300V,1282,pD,4,,,BmO:,-z -x (right),,,
FPix_BpI_D1_BLD4_PNL2_RNG1,,8T,M-G-2-13,4072,13,1Tc,1TB,2,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J12,4,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P96,D5,SN112498/0008,C10,30201210004664,A,0x7e,0x10,FPix +z up right 5,5,FPix +z up right 6,4,10,brown-4,4,7/8,3,t,1298,top,9,9,1,1,D1-RG3-HV2,-300V,1282,pD,4,,,BpI:,+z +x (right),,,
FPix_BpI_D1_BLD3_PNL2_RNG1,,9T,M-P-5-17,6254,15,1Td,1TA,6,PR106,portcard_FPix_BpI_D1_PRT4,PB-27,J12,4,dcdc_FPix_BpI_D1_PRT4,Disk1_RG4,CI-A 042,P119,D3,SN112498/0031,C10,30201210004664,B,0x7d,0x10,FPix +z up right 5,3,FPix +z up right 6,4,12,orange-2,2,3/4,2,t,1297,top,9,9,1,2,D1-RG4-HV2,-300V,1281,pD,4,,,BpO:,+z -x (left),,,
FPix_BpI_D1_BLD2_PNL2_RNG1,,10T,M-Q-6-06,6149,14,1Td,1TA,4,PR106,portcard_FPix_BpI_D1_PRT4,PB-27,J12,4,dcdc_FPix_BpI_D1_PRT4,Disk1_RG4,CI-A 042,P119,D2,SN112498/0030,C10,30201210004664,B,0x7d,0x10,FPix +z up right 5,2,FPix +z up right 6,4,13,orange-2,14,27/28,1,b,1296,top,9,9,1,2,D1-RG4-HV2,-300V,1280,pD,4,,,,,,,
FPix_BpI_D1_BLD1_PNL2_RNG1,,11T,M-P-2-40,4066,13,1Td,1TA,2,PR106,portcard_FPix_BpI_D1_PRT4,PB-27,J12,4,dcdc_FPix_BpI_D1_PRT4,Disk1_RG4,CI-A 042,P119,D1,SN112498/0036,C10,30201210004664,B,0x7d,0x10,FPix +z up right 5,1,FPix +z up right 6,4,14,orange-2,2,3/4,1,t,1296,top,9,9,1,2,D1-RG4-HV2,-300V,1280,pD,4,,,,,,,
FPix_BpI_D1_BLD11_PNL1_RNG1,,1B,M-Q-9-45,6174,12,1Ba,1BD,6,PR003,portcard_FPix_BpI_D1_PRT1,PB-10,J11,2,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P76,A21,SN112498/0029,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,1,FPix +z down right 3,2,1,green-3,15,29/30,7,b,1302,top,10,10,1,1,D1-RG1-HV2,-300V,1286,pD,4,,,POH bundles,"1,2,3,4,5,6,7,12,13,18,19,20,21,22",,,(14 bundles - 12 fibers/bundle - 1.72 POHs/bundle)
FPix_BpI_D1_BLD10_PNL1_RNG1,,2B,M-Q-9-25,6202,11,1Ba,1BD,4,PR003,portcard_FPix_BpI_D1_PRT1,PB-10,J11,2,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P76,A20,SN112498/0026,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,2,FPix +z down right 3,2,2,green-3,3,5/6,7,t,1302,top,10,10,1,1,D1-RG1-HV2,-300V,1286,pD,4,,,pDOH bundles,"8,14,9,15,10,16",,,(6 bundles - 8 fibers/bundle - 2 DOHs/bundle)
FPix_BpI_D1_BLD9_PNL1_RNG1,,3B,M-G-1-23,4073,10,1Ba,1BD,2,PR003,portcard_FPix_BpI_D1_PRT1,PB-10,J11,2,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P76,A19,SN112498/0002,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,3,FPix +z down right 3,2,3,green-3,15,29/30,6,b,1301,top,10,10,1,1,D1-RG1-HV2,-300V,1285,pD,4,,,tDOH bundle,17,,,(1 bundle - 8 fibers/bundle)
FPix_BpI_D1_BLD8_PNL1_RNG1,,4B,M-Q-A-44,6173,13,1Bb,1BC,6,PR013,portcard_FPix_BpI_D1_PRT2,PB-50,J11,2,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P78,A17,SN112498/0037,B14,30201210004670,B,0x7c,0x10,FPix +z down right 2,5,FPix +z down right 3,2,5,blue-1,13,25/26,5,b,1300,top,10,10,1,2,D1-RG2-HV2,-300V,1284,pD,4,,,,,,,
FPix_BpI_D1_BLD7_PNL1_RNG1,,5B,M-Q-8-17,4075,12,1Bb,1BC,2,PR013,portcard_FPix_BpI_D1_PRT2,PB-50,J11,2,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P78,B15,SN112498/0006,B14,30201210004670,B,0x7c,0x10,FPix +z down right 3,1,FPix +z down right 3,2,7,blue-1,13,25/26,4,b,1299,top,10,10,1,2,D1-RG2-HV2,-300V,1283,pD,4,,,,,,,
FPix_BpI_D1_BLD6_PNL1_RNG1,,6B,M-Q-6-25,4077,12,1Bc,1BB,6,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J11,2,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P62,C7,SN112498/0010,C10,30201210004664,A,0x7e,0x10,FPix +z up right 6,1,FPix +z up right 6,4,8,green-3,3,5/6,4,t,1299,top,9,9,1,1,D1-RG3-HV2,-300V,1283,pD,4,,,,,,,
FPix_BpI_D1_BLD5_PNL1_RNG1,,7B,M-Q-6-33,4074,11,1Bc,1BB,4,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J11,2,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P62,C6,SN112498/0009,C10,30201210004664,A,0x7e,0x10,FPix +z up right 5,6,FPix +z up right 6,4,9,green-3,15,29/30,3,b,1298,top,9,9,1,1,D1-RG3-HV2,-300V,1282,pD,4,,,,,,,
FPix_BpI_D1_BLD4_PNL1_RNG1,,8B,M-Q-7-18,6207,0,1Bc,1BB,2,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J11,2,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P62,D5,SN112498/0008,C10,30201210004664,A,0x7e,0x10,FPix +z up right 5,5,FPix +z up right 6,4,10,green-3,3,5/6,3,t,1298,top,9,9,1,1,D1-RG3-HV2,-300V,1282,pD,4,,,,,,,
FPix_BpI_D1_BLD3_PNL1_RNG1,,9B,M-Q-6-46,6224,12,1Bd,1BA,6,PR106,portcard_FPix_BpI_D1_PRT4,PB-27,J11,2,dcdc_FPix_BpI_D1_PRT4,Disk1_RG4,CI-A 042,P71,D3,SN112498/0031,C10,30201210004664,B,0x7d,0x10,FPix +z up right 5,3,FPix +z up right 6,4,12,blue-1,1,1/2,2,t,1297,top,9,9,1,2,D1-RG4-HV2,-300V,1281,pD,4,,,,,,,
FPix_BpI_D1_BLD2_PNL1_RNG1,,10B,M-Q-6-16,4105W,11,1Bd,1BA,4,PR106,portcard_FPix_BpI_D1_PRT4,PB-27,J11,2,dcdc_FPix_BpI_D1_PRT4,Disk1_RG4,CI-A 042,P71,D2,SN112498/0030,C10,30201210004664,B,0x7d,0x10,FPix +z up right 5,2,FPix +z up right 6,4,13,blue-1,13,25/26,1,b,1296,top,9,9,1,2,D1-RG4-HV2,-300V,1280,pD,4,,,,,,,
FPix_BpI_D1_BLD1_PNL1_RNG1,,11B,M-Q-4-18,6210,10,1Bd,1BA,2,PR106,portcard_FPix_BpI_D1_PRT4,PB-27,J11,2,dcdc_FPix_BpI_D1_PRT4,Disk1_RG4,CI-A 042,P71,D1,SN112498/0036,C10,30201210004664,B,0x7d,0x10,FPix +z up right 5,1,FPix +z up right 6,4,14,blue-1,1,1/2,1,t,1296,top,9,9,1,2,D1-RG4-HV2,-300V,1280,pD,4,,,,,,,
FPix_BpI_D1_BLD17_PNL2_RNG2,HC3-Disk1-Outer,1T,M-H-1-36,4143,9,1Ta,1TD,7,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,3,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A21,SN112498/0029,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,1,FPix +z down right 3,2,1,orange-2,14,27/28,7,b,1302,top,10,10,1,1,D1-RG1-HV1,,1286,pD,4,BpI,,,,,,
FPix_BpI_D1_BLD16_PNL2_RNG2,,2T,M-P-2-18,6151,8,1Ta,1TD,5,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,3,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A20,SN112498/0026,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,2,FPix +z down right 3,2,2,orange-2,2,3/4,7,t,1302,top,10,10,1,1,D1-RG1-HV1,,1286,pD,4,,,,,,,
FPix_BpI_D1_BLD15_PNL2_RNG2,,3T,M-Q-8-47,4146,7,1Ta,1TD,3,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,3,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A19,SN112498/0002,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,3,FPix +z down right 3,2,3,orange-2,14,27/28,6,b,1301,top,10,10,1,1,D1-RG1-HV1,,1285,pD,4,,,,,,,
FPix_BpI_D1_BLD14_PNL2_RNG2,,4T,M-P-4-41,4135B,6,1Ta,1TD,1,PR103,portcard_FPix_BpI_D1_PRT1,PB-10,J12,3,dcdc_FPix_BpI_D1_PRT1,Disk1_RG1,CI-A 053,P101,A18,SN112498/0003,B14,30201210004670,A,0x7b,0x10,FPix +z down right 2,4,FPix +z down right 3,2,4,orange-2,2,3/4,6,t,1301,top,10,10,1,1,D1-RG1-HV1,,1285,pD,4,,,,,,,
FPix_BpI_D1_BLD13_PNL2_RNG2,,5T,M-P-2-06,4158,11,1Tb,1TC,7,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,3,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,A18,SN112498/0003,B14,30201210004670,B,0x7c,0x10,FPix +z down right 2,4,FPix +z down right 3,2,4,brown-4,4,7/8,6,t,1301,top,10,10,1,2,D1-RG2-HV1,,1285,pD,4,,,,,,,
FPix_BpI_D1_BLD12_PNL2_RNG2,,6T,M-J-1-08,4175,10,1Tb,1TC,5,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,3,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,A17,SN112498/0037,B14,30201210004670,B,0x7c,0x10,FPix +z down right 2,5,FPix +z down right 3,2,5,brown-4,16,31/32,5,b,1300,top,10,10,1,2,D1-RG2-HV1,,1284,pD,4,,,,,,,
FPix_BpI_D1_BLD11_PNL2_RNG2,,7T,M-G-3-16,4176,9,1Tb,1TC,4,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,4,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,B16,SN112498/0005,B14,30201210004670,B,0x7c,0x10,FPix +z down right 2,6,FPix +z down right 3,2,6,orange-2,2,3/4,5,t,1300,top,10,10,1,2,D1-RG2-HV1,,1284,pD,4,,,,,,,
FPix_BpI_D1_BLD10_PNL2_RNG2,,8T,M-P-2-15,4131B,8,1Tb,1TC,3,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,3,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,B16,SN112498/0005,B14,30201210004670,B,0x7c,0x10,FPix +z down right 2,6,FPix +z down right 3,2,6,brown-4,4,7/8,5,t,1300,top,10,10,1,2,D1-RG2-HV1,,1284,pD,4,,,,,,,
FPix_BpI_D1_BLD9_PNL2_RNG2,,9T,M-O-3-30,4137,7,1Tb,1TC,1,PR105,portcard_FPix_BpI_D1_PRT2,PB-50,J12,3,dcdc_FPix_BpI_D1_PRT2,Disk1_RG2,CI-A 040,P102,B15,SN112498/0006,B14,30201210004670,B,0x7c,0x10,FPix +z down right 3,1,FPix +z down right 3,2,7,brown-4,16,31/32,4,b,1299,top,10,10,1,2,D1-RG2-HV1,,1283,pD,4,,,,,,,
FPix_BpI_D1_BLD8_PNL2_RNG2,,10T,M-L-2-29,4178,9,1Tc,1TB,7,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J12,3,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P96,C7,SN112498/0010,C10,30201210004664,A,0x7e,0x10,FPix +z up right 6,1,FPix +z up right 6,4,8,orange-2,2,3/4,4,t,1299,top,9,9,1,1,D1-RG3-HV1,,1283,pD,4,,,,,,,
FPix_BpI_D1_BLD7_PNL2_RNG2,,11T,M-J-4-26,6199,8,1Tc,1TB,5,PR108,portcard_FPix_BpI_D1_PRT3,PB-48,J12,3,dcdc_FPix_BpI_D1_PRT3,Disk1_RG3,CI-A 028,P96,C6,SN112498/0009,C10,30201210004664,A,0x7e,0x10,FPix +z up right 5,6,FPix +z up right 6,4,9,orange-2,14,27/28,3,b,1298,top,9,9,1,1,D1-RG3-HV1,,1282,pD,4,,,,,,,
